ID,label,description,aliases,Data type,Count
P582,end time,time an item ceases to exist or a statement stops being valid,"to, ending, cease date, cease operation, cease time, closed, completed in, dissolved, divorced, end date, enddate, ends, endtime, fall date, left office, stop time, till, until",Time,"1,151,236"
P276,location,"location of the item, physical object or event is within. In case of an administrative entity use P131. In case of a distinct terrain feature use P706.","neighborhood, venue, region, event location, based in, in, is in, located in, location of item, moveable object location, place held, located",WikibaseItem,"1,514,772"
P571,inception,date or point in time when the subject came into existence as defined,"foundation, formation, introduction, formed in, date of establishment, date of founding, establishment date, founding date, introduced, start date, commenced on date, commencement date, completed, constructed, construction date, created, created on date, creation date, date commenced, date constructed, date created, date formed, date founded, date incorporated, date of commencement, date of creation, date of foundation, date of foundation or creation, date of incorporation, dedication date, established, established on date, first issue, formation date, formed at, formed on date, foundation date, founded, founded on date, inaugurated, incorporated, incorporated on date, incorporation date, inititated, launch date, time of foundation or creation, time of inception, written on date, year commenced, year created, year established, year founded, year incorporated, year written, built, foundation / creation date",Time,"1,699,916"
P585,point in time,"time and date something took place, existed or a statement was true","date, year, time, when, as of, at time, during, time of event",Time,"1,793,185"
P361,part of,"object of which the subject is a part (it's not useful to link objects which are themselves parts of other objects already listed as parts of the subject). Inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670)).","in, assembly of, component of, contained within, is part of, merged into, merged with, meronym of, part of-property, section of, subassembly of, subsystem of, system of, within",WikibaseItem,"1,802,212"
P570,date of death,date on which the subject died,"DOD, death, dead, death date, died on, year of death, date of the end, deathdate",Time,"1,825,002"
P580,start time,time an item begins to exist or a statement starts being valid,"introduction, from, began, beginning, building date, from date, from time, introduced, since, start date, started in, starting, starttime",Time,"1,980,873"
P674,characters,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)",,WikibaseItem,"10,408"
P36,capital,"primary city of a country, province, state or other type of administrative territorial entity","chef-lieu, administrative centre, administrative headquarters, capital city, capital town, county seat, has capital, principal place",WikibaseItem,"101,517"
P1056,product or material produced,"material or product produced by a government agency, business, industry, facility, or process","output, product, commodity, products, creates, has product, maker of, makes, manufacturer of, manufactures, material produced, producer of, produces, results in, work produced",WikibaseItem,"11,111"
P17,country,sovereign state of this item; don't use on humans,"state, land, sovereign state, host country",WikibaseItem,"11,889,242"
P3373,sibling,"the subject has the object as their sibling (brother, sister, etc.). Use ""relative"" (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)","sister, brother, sib, bro, brother or sister, has brother, has sister, sis, sister or brother",WikibaseItem,"110,858"
P172,ethnic group,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).","people, culture, ethnicity",WikibaseItem,"113,026"
P58,screenwriter,person(s) who wrote the script for subject item,"written by, scriptwriter, film script by, screenplay by, teleplay by, writer (of screenplays)",WikibaseItem,"120,119"
P576,"dissolved, abolished or demolished","point in time at which the subject (organisation, building) ceased to exist; see ""date of official closure"" (P3999) for closing a facility, ""service retirement"" (P730) for retiring equipment, ""discontinued date"" (P2669) for stopping a product","dissolved, end date, closed on, closure date, abolished, abolishment date, date disbanded, date disestablished, date dissolved, date of dissolution, defunct, defunct date, demise date, demolished, destroyed in, disbanded, disbanded on, disestablished, dissolution date, dissolved on date, dissolved or abolished, dissolved, abolished, or demolished, ended, final year, folded, time abolished, time dissolved, time of abolishment, time of dissolution, wound up on date, ceased to exist",Time,"122,936"
P162,producer,"person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]","film producer, record producer, produced by",WikibaseItem,"134,044"
P179,part of the series,series which contains the subject,"series, part of series",WikibaseItem,"139,372"
P86,composer,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]","songwriter, composed by, music by, musical score by, written by",WikibaseItem,"141,554"
P607,conflict,"battles, wars or other military engagements in which the person or item participated","battle, war, in action, in conflict, participant in conflict, participated in conflict, theater (military), theatre (military)",WikibaseItem,"141,563"
P190,twinned administrative body,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments","twin town, partner city, partner town, sister city, sister town, twin cities, twin city",WikibaseItem,"15,970"
P676,lyrics by,author of song lyrics; also use P86 for music composer,"author, lyricist, lyracist, words by, writer (of song lyrics)",WikibaseItem,"16,139"
P355,subsidiary,"subsidiary of a company or organization, opposite of parent organization (P749)","parent company of, subsidiary company, subsidiary entities, owns, has subsidiary",WikibaseItem,"16,480"
P205,basin country,country that have drainage to/from or border the body of water,basin countries,WikibaseItem,"17,123"
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""partner"" (P451) for non-married companions","husband, partner, life partner, consort, husbands, marriage partner, married, married to, marry, partners, spouses, wed, wedded to, wife, wives",WikibaseItem,"170,765"
P161,cast member,"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role]","actor, actress, contestant or a play, film starring, starring",WikibaseItem,"188,481"
P1198,unemployment rate,portion of a workforce population that is not employed,,Quantity,199
P19,place of birth,"most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character","birth location, birthplace, location of birth, POB, birth city, birth place, born at, born in, location born",WikibaseItem,"2,324,749"
P279,subclass of,all instances of these items are instances of those items; this item is a class (subset) of that item. Not to be confused with P31 (instance of),"⊂, ⊆, form of, has superclass, hyponym of, is a category of, is a class of, is a subtype of, is a type of, is also a, is necessarily also a, is thereby also a, rdfs:subClassOf, subcategory of, subset of, subtype of, type of, whose instances ⊆ those of, whose instances are among",WikibaseItem,"2,460,342"
P171,parent taxon,closest parent taxon of the taxon in question,"higher taxon, taxon parent",WikibaseItem,"2,684,429"
P463,member of,"organization or club to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).",,WikibaseItem,"207,867"
P937,work location,location where persons were active,"location of work, place of work, work location, workplace, active in, place of activity, working at",WikibaseItem,"208,572"
P6,head of government,"head of the executive power of this town, city, municipality, state, country, or other governmental body","chancellor, mayor, prime minister, governor, premier, first minister, executive power headed by, government headed by, head of national government",WikibaseItem,"22,450"
